特徵方法,訓練邊比例,AUC,AP,F1,Precision,Recall,Accuracy,Kappa,TP,FP,FN,TN
M0: Degree Stats,Sparse (20%),0.8012 ± 0.0149,0.7998 ± 0.0118,0.6692 ± 0.0033,0.5060 ± 0.0040,0.9878 ± 0.0044,0.5117 ± 0.0077,0.0234 ± 0.0154,33570.3,32775.3,414.7,1209.7
M0: Degree Stats,Medium (50%),0.8268 ± 0.0357,0.8056 ± 0.0572,0.7267 ± 0.0335,0.5905 ± 0.0519,0.9514 ± 0.0204,0.6382 ± 0.0670,0.2764 ± 0.1340,18476.0,13107.7,944.0,6312.3
M0: Degree Stats,Dense  (80%),0.8670 ± 0.0410,0.8567 ± 0.0647,0.7510 ± 0.0435,0.6193 ± 0.0641,0.9628 ± 0.0199,0.6746 ± 0.0854,0.3492 ± 0.1709,4673.7,2978.7,180.3,1875.3
llm_embed+GNN,Sparse (20%),0.8052 ± 0.0035,0.7811 ± 0.0073,0.6676 ± 0.0013,0.5010 ± 0.0015,0.9999 ± 0.0001,0.5021 ± 0.0029,0.0042 ± 0.0059,33983.0,33841.7,2.0,143.3
llm_embed+GNN,Medium (50%),0.8591 ± 0.0285,0.8445 ± 0.0375,0.7460 ± 0.0561,0.6204 ± 0.0852,0.9527 ± 0.0335,0.6643 ± 0.1162,0.3286 ± 0.2324,18500.7,12118.7,919.3,7301.3
llm_embed+GNN,Dense  (80%),0.8993 ± 0.0159,0.8879 ± 0.0183,0.7908 ± 0.0056,0.6701 ± 0.0045,0.9644 ± 0.0073,0.7448 ± 0.0067,0.4897 ± 0.0135,4681.3,2304.3,172.7,2549.7
llm_embed_lora+GNN,Sparse (20%),0.8023 ± 0.0058,0.7724 ± 0.0112,0.6671 ± 0.0006,0.5005 ± 0.0007,0.9999 ± 0.0001,0.5010 ± 0.0014,0.0019 ± 0.0027,33982.7,33916.7,2.3,68.3
llm_embed_lora+GNN,Medium (50%),0.8779 ± 0.0103,0.8669 ± 0.0187,0.7804 ± 0.0072,0.6718 ± 0.0119,0.9312 ± 0.0030,0.7379 ± 0.0118,0.4758 ± 0.0236,18083.0,8843.0,1337.0,10577.0
llm_embed_lora+GNN,Dense  (80%),0.9020 ± 0.0110,0.8921 ± 0.0057,0.7899 ± 0.0106,0.6689 ± 0.0147,0.9646 ± 0.0011,0.7433 ± 0.0163,0.4865 ± 0.0326,4682.3,2320.7,171.7,2533.3
GAE+GNN,Sparse (20%),0.7727 ± 0.0094,0.7217 ± 0.0140,0.6667 ± 0.0000,0.5000 ± 0.0000,1.0000 ± 0.0000,0.5000 ± 0.0000,0.0000 ± 0.0000,33985.0,33985.0,0.0,0.0
GAE+GNN,Medium (50%),0.7748 ± 0.0187,0.7090 ± 0.0301,0.7108 ± 0.0312,0.5708 ± 0.0501,0.9510 ± 0.0347,0.6082 ± 0.0765,0.2164 ± 0.1530,18468.3,14266.0,951.7,5154.0
GAE+GNN,Dense  (80%),0.7762 ± 0.0141,0.6987 ± 0.0290,0.6860 ± 0.0273,0.5270 ± 0.0382,0.9874 ± 0.0178,0.5448 ± 0.0633,0.0895 ± 0.1266,4793.0,4358.3,61.0,495.7
Degree+LLM+GNN,Sparse (20%),0.8211 ± 0.0097,0.7986 ± 0.0020,0.7462 ± 0.0037,0.6397 ± 0.0095,0.8960 ± 0.0252,0.6953 ± 0.0056,0.3906 ± 0.0113,30451.0,17177.7,3534.0,16807.3
Degree+LLM+GNN,Medium (50%),0.8877 ± 0.0033,0.8992 ± 0.0071,0.7765 ± 0.0041,0.6716 ± 0.0082,0.9205 ± 0.0052,0.7350 ± 0.0073,0.4700 ± 0.0147,17875.3,8747.7,1544.7,10672.3
Degree+LLM+GNN,Dense  (80%),0.9276 ± 0.0015,0.9341 ± 0.0009,0.8016 ± 0.0022,0.6909 ± 0.0030,0.9547 ± 0.0010,0.7637 ± 0.0031,0.5275 ± 0.0063,4634.0,2073.7,220.0,2780.3
llm_pairwise,Sparse (20%),0.6933 ± 0.0000,0.6118 ± 0.0000,-,-,-,-,-,-,-,-,-
llm_pairwise,Medium (50%),0.6933 ± 0.0000,0.6118 ± 0.0000,-,-,-,-,-,-,-,-,-
llm_pairwise,Dense  (80%),0.6933 ± 0.0000,0.6118 ± 0.0000,-,-,-,-,-,-,-,-,-
llm_majority,Sparse (20%),0.6790 ± 0.0000,0.6489 ± 0.0000,-,-,-,-,-,-,-,-,-
llm_majority,Medium (50%),0.6790 ± 0.0000,0.6489 ± 0.0000,-,-,-,-,-,-,-,-,-
llm_majority,Dense  (80%),0.6790 ± 0.0000,0.6489 ± 0.0000,-,-,-,-,-,-,-,-,-
llm_lora,Sparse (20%),0.9550 ± 0.0000,0.9184 ± 0.0000,-,-,-,-,-,-,-,-,-
llm_lora,Medium (50%),0.9550 ± 0.0000,0.9184 ± 0.0000,-,-,-,-,-,-,-,-,-
llm_lora,Dense  (80%),0.9550 ± 0.0000,0.9184 ± 0.0000,-,-,-,-,-,-,-,-,-
